Date,MXN=X,COP=X,BRL=X,CLP=X
2024-01-01,16.96343994140625,3836.099609375,4.850500106811523,871.8646850585938
2024-01-02,16.962509155273438,3883.090087890625,4.852399826049805,872.6539916992188
2024-01-03,17.019399642944336,3887.47998046875,4.922500133514404,883.8200073242188
2024-01-04,17.012149810791016,3896.75,4.9191999435424805,881.72998046875
2024-01-05,17.00860023498535,3927.1298828125,4.895599842071533,886.97998046875
2024-01-08,16.880939483642578,3874.189208984375,4.8606672286987305,877.2498779296875
2024-01-09,16.83370018005371,3882.75,4.86899995803833,903.5
2024-01-10,16.966659545898438,3938.25,4.905099868774414,917.6500244140625
2024-01-11,16.981660842895508,3934.75,4.89139986038208,916.1900024414062
2024-01-12,16.901559829711914,3916.72998046875,4.869699954986572,913.469970703125
2024-01-15,16.869070053100586,3867.40234375,4.85290002822876,895.7639770507812
2024-01-16,16.88479995727539,3909.47998046875,4.862199783325195,910.1400146484375
2024-01-17,17.197900772094727,3948.60009765625,4.924900054931641,922.2899780273438
2024-01-18,17.19260025024414,3956.429931640625,4.934000015258789,921.2000122070312
2024-01-19,17.168359756469727,3919.389892578125,4.92609977722168,919.5900268554688
2024-01-22,17.093149185180664,3869.931640625,4.904642105102539,896.9052124023438
2024-01-23,17.174699783325195,3900.60009765625,4.98829984664917,909.3099975585938
2024-01-24,17.306060791015625,3955.9599609375,4.952199935913086,911.989990234375
2024-01-25,17.234159469604492,3913.97998046875,4.932499885559082,910.3300170898438
2024-01-26,17.18950080871582,3937.5,4.915800094604492,909.3699951171875
2024-01-29,17.16861915588379,3893.13818359375,4.913599967956543,894.8502197265625
2024-01-30,17.219560623168945,3926.72998046875,4.950200080871582,929.77001953125
2024-01-31,17.1527099609375,3919.260009765625,4.950300216674805,932.1500244140625
2024-02-01,17.217529296875,3915.280029296875,4.951900005340576,930.280029296875
2024-02-02,17.0674991607666,3884.60009765625,4.914999961853027,931.5700073242188
2024-02-05,17.15069007873535,3877.0126953125,4.932938098907471,927.764404296875
2024-02-06,17.109100341796875,3962.610107421875,4.9499430656433105,953.739990234375
2024-02-07,17.027999877929688,3950.090087890625,4.962299823760986,947.5999755859375
2024-02-08,17.045400619506836,3953.4599609375,4.969299793243408,953.0999755859375
2024-02-09,17.13170051574707,3945.0,4.9918999671936035,965.4199829101562
2024-02-12,17.075429916381836,3892.5009765625,4.953100204467773,956.61083984375
2024-02-13,17.067760467529297,3911.919921875,4.952199935913086,970.469970703125
2024-02-14,17.202009201049805,3923.320068359375,4.952000141143799,969.8800048828125
2024-02-15,17.075199127197266,3913.2099609375,4.968299865722656,957.3300170898438
2024-02-16,17.040170669555664,3907.3798828125,4.972400188446045,967.1900024414062
2024-02-19,17.042930603027344,3863.140869140625,4.965099811553955,951.2039184570312
2024-02-20,17.03420066833496,3916.35009765625,4.956399917602539,964.5
2024-02-21,17.059799194335938,3916.889892578125,4.926400184631348,962.0999755859375
2024-02-22,17.033100128173828,3923.449951171875,4.934899806976318,969.1799926757812
2024-02-23,17.10733985900879,3926.8798828125,4.962399959564209,978.469970703125
2024-02-26,17.113929748535156,3879.02001953125,4.993500232696533,965.7730712890625
2024-02-27,17.08169937133789,3959.7099609375,4.978899955749512,986.5499877929688
2024-02-28,17.066959381103516,3929.9599609375,4.932400226593018,980.97998046875
2024-02-29,17.087299346923828,3923.18994140625,4.967299938201904,978.6400146484375
2024-03-01,17.050060272216797,3926.1298828125,4.969799995422363,966.280029296875
2024-03-04,17.009370803833008,3867.059814453125,4.952700138092041,945.7276000976562
2024-03-05,16.95507049560547,3943.610107421875,4.944900035858154,973.8800048828125
2024-03-06,16.932100296020508,3942.97998046875,4.957099914550781,976.989990234375
2024-03-07,16.867799758911133,3921.929931640625,4.943600177764893,985.1500244140625
2024-03-08,16.864700317382812,3914.010009765625,4.933800220489502,980.5399780273438
2024-03-11,16.803619384765625,3865.880859375,4.977540016174316,953.6156616210938
2024-03-12,16.798969268798828,3907.25,4.977399826049805,965.8800048828125
2024-03-13,16.784299850463867,3901.1201171875,4.968699932098389,950.760009765625
2024-03-14,16.669330596923828,3901.25,4.969200134277344,945.3699951171875
2024-03-15,16.701860427856445,3895.199951171875,4.992700099945068,941.3200073242188
2024-03-18,16.720399856567383,3848.223388671875,4.968047142028809,925.2318725585938
2024-03-19,16.830860137939453,3887.8798828125,5.029399871826172,946.4099731445312
2024-03-20,16.79990005493164,3873.929931640625,5.03000020980835,965.8699951171875
2024-03-21,16.667699813842773,3878.860107421875,4.96619987487793,962.510009765625
2024-03-22,16.7268009185791,3887.85009765625,4.9745001792907715,968.6300048828125
2024-03-25,16.75830078125,3838.925048828125,5.000899791717529,964.0664672851562
2024-03-26,16.670700073242188,3946.1201171875,4.9721999168396,977.8800048828125
2024-03-27,16.63159942626953,3855.5,4.9756999015808105,981.530029296875
2024-03-28,16.55069923400879,3846.3798828125,4.990300178527832,979.3900146484375
2024-03-29,16.602840423583984,3857.25,5.014100074768066,980.4600219726562
2024-04-01,16.555450439453125,3859.449951171875,5.013199806213379,979.27001953125
2024-04-02,16.608800888061523,3861.06005859375,5.053599834442139,984.97998046875
2024-04-03,16.54990005493164,3830.25,5.0644001960754395,975.5700073242188
2024-04-04,16.527000427246094,3811.610107421875,5.038599967956543,954.3900146484375
2024-04-05,16.573200225830078,3768.25,5.057400226593018,940.2999877929688
2024-04-08,16.45199966430664,3773.340087890625,5.054900169372559,927.7029418945312
2024-04-09,16.314300537109375,3771.35009765625,5.023900032043457,933.3106079101562
2024-04-10,16.383310317993164,3765.25,5.007599830627441,941.0900268554688
2024-04-11,16.452499389648438,3802.25,5.066199779510498,947.489990234375
2024-04-12,16.42609977722168,3822.25,5.090400218963623,954.8599853515625
2024-04-15,16.611080169677734,3813.10009765625,5.117099761962891,964.1300048828125
2024-04-16,16.694400787353516,3884.25,5.183700084686279,972.2999877929688
2024-04-17,17.033340454101562,3921.5,5.2855000495910645,979.9600219726562
2024-04-18,16.956300735473633,3890.39990234375,5.232600212097168,978.4299926757812
2024-04-19,17.074960708618164,3926.64990234375,5.241700172424316,965.6900024414062
2024-04-22,17.091999053955078,3912.6201171875,5.206200122833252,958.6400146484375
2024-04-23,17.136980056762695,3909.85009765625,5.1656999588012695,952.1300048828125
2024-04-24,16.949199676513672,3903.199951171875,5.130499839782715,953.2000122070312
2024-04-25,17.070100784301758,3937.5,5.145500183105469,952.1799926757812
2024-04-26,17.201810836791992,3956.010009765625,5.158599853515625,948.0
2024-04-29,17.16404914855957,3963.489990234375,5.115499973297119,951.469970703125
2024-04-30,17.011560440063477,3907.260009765625,5.117000102996826,941.5399780273438
2024-05-01,17.149919509887695,3907.75,5.193900108337402,957.510009765625
2024-05-02,16.928600311279297,3912.25,5.194399833679199,959.8800048828125
2024-05-03,16.961700439453125,3895.75,5.110300064086914,947.1500244140625
2024-05-06,16.980260848999023,3886.2900390625,5.070899963378906,942.75
2024-05-07,16.88334083557129,3892.75,5.074900150299072,929.3900146484375
2024-05-08,16.90406036376953,3887.25,5.073299884796143,936.9500122070312
2024-05-09,16.9160099029541,3896.25,5.087900161743164,935.6300048828125
2024-05-10,16.779499053955078,3888.760009765625,5.1407999992370605,924.0499877929688
2024-05-13,16.767200469970703,3889.110107421875,5.123260021209717,913.1746826171875
2024-05-14,16.783199310302734,3886.949951171875,5.154200077056885,923.4099731445312
2024-05-15,16.844160079956055,3851.75,5.127799987792969,914.0800170898438
2024-05-16,16.681060791015625,3822.31005859375,5.133600234985352,904.7899780273438
2024-05-17,16.678159713745117,3826.3798828125,5.128600120544434,898.030029296875
2024-05-20,16.586299896240234,3805.419921875,5.1020002365112305,894.0
2024-05-21,16.552570343017578,3824.919921875,5.103099822998047,887.0900268554688
2024-05-22,16.606599807739258,3821.06005859375,5.1219000816345215,888.0
2024-05-23,16.661630630493164,3827.89990234375,5.151100158691406,898.1900024414062
2024-05-24,16.730369567871094,3864.39990234375,5.143099784851074,909.1099853515625
2024-05-27,16.656999588012695,3868.60009765625,5.171000003814697,900.2999877929688
